Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774901629,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774901630,5,,Aggregated,0.000000,0.000000,430,440,450,450,450,450,450,450,450,450,450,7,0,430.0,334.17737514745176,62.36666603945196,449.69529198715463,411.2857142857143
1774901631,10,,Aggregated,0.000000,0.000000,120,150,160,190,440,450,450,450,450,450,450,29,0,120.0,164.76422703246874,52.11204197257757,449.69529198715463,412.7241379310345
1774901632,15,,Aggregated,6.000000,0.000000,94,130,180,200,260,440,450,450,450,450,450,59,0,94,139.51981786571412,52.11204197257757,449.69529198715463,413.40677966101697
1774901633,20,,Aggregated,11.500000,0.000000,120,160,180,190,230,430,450,450,450,450,450,97,0,120.0,137.4532616494425,24.577459029387683,449.69529198715463,406.4020618556701
1774901634,25,,Aggregated,17.333333,0.000000,120,160,180,190,210,240,440,450,450,450,450,135,0,120.0,137.98530592703847,24.577459029387683,449.69529198715463,405.7111111111111
1774901635,30,,Aggregated,21.750000,0.000000,140,170,190,200,230,250,430,450,450,450,450,190,0,130.0,143.8452656478866,24.577459029387683,449.69529198715463,437.88947368421054
1774901636,35,,Aggregated,25.600000,0.000000,160,190,210,220,310,430,450,470,530,530,530,231,0,160.0,171.92974177595366,22.74774998659268,533.1424999749288,432.1038961038961
1774901637,40,,Aggregated,25.600000,0.000000,160,200,230,240,330,430,450,470,530,530,530,254,0,160.0,180.51572152510593,22.74774998659268,533.1424999749288,456.92913385826773
1774901638,45,,Aggregated,31.142857,0.000000,180,230,300,380,630,1100,1200,1300,1500,1500,1500,293,0,180.0,276.39299025083653,22.74774998659268,1518.7424579635262,470.56313993174064
1774901639,50,,Aggregated,31.750000,0.000000,200,270,330,390,530,910,1200,1300,1500,1500,1500,344,0,200.0,282.0513221231522,22.74774998659268,1518.7424579635262,489.34302325581393
1774901640,50,,Aggregated,30.111111,0.000000,220,320,380,400,500,880,1200,1300,1500,1500,1500,399,0,220.0,293.85606446163376,22.74774998659268,1518.7424579635262,485.55889724310777
1774901641,50,,Aggregated,33.300000,0.000000,260,350,390,410,490,820,1200,1200,1500,1500,1500,449,0,260.0,304.1969408223588,22.74774998659268,1518.7424579635262,475.97104677060133
1774901642,50,,Aggregated,37.500000,0.000000,290,370,410,430,500,780,1200,1200,1500,1500,1500,501,0,290.0,314.0191616069436,22.74774998659268,1518.7424579635262,480.9081836327345
1774901643,50,,Aggregated,40.800000,0.000000,310,380,400,430,500,720,1200,1200,1500,1500,1500,547,0,310.0,317.46109660014247,22.74774998659268,1518.7424579635262,480.1755027422303
1774901644,50,,Aggregated,42.800000,0.000000,320,380,420,440,520,670,1200,1200,7400,7400,7400,602,0,320.0,337.9503509256582,22.74774998659268,7397.625208017416,481.86378737541526
1774901645,50,,Aggregated,44.600000,0.000000,320,380,410,430,510,650,1200,1200,7400,7400,7400,643,0,320.0,336.5056841810919,22.74774998659268,7397.625208017416,477.46034214618976
1774901646,50,,Aggregated,44.600000,0.000000,340,390,430,450,520,630,1200,1200,7400,7400,7400,697,0,340.0,345.4788406443825,22.74774998659268,7397.625208017416,472.0487804878049
1774901647,50,,Aggregated,46.100000,0.000000,340,390,420,450,510,610,1100,1200,7400,7400,7400,741,0,340.0,346.00610989084663,22.74774998659268,7397.625208017416,472.68556005398113
1774901648,50,,Aggregated,46.000000,0.000000,350,400,430,460,530,630,1100,1200,7400,7400,7400,788,0,350.0,351.5704614645092,22.74774998659268,7397.625208017416,467.8489847715736
1774901649,50,,Aggregated,47.600000,0.000000,360,400,440,460,530,630,1100,1200,7400,7400,7400,833,0,360.0,355.5197493612849,22.74774998659268,7397.625208017416,468.9159663865546
1774901650,50,,Aggregated,50.400000,0.000000,360,410,440,460,530,630,1100,1200,7400,7400,7400,885,0,360.0,357.44754436628443,22.74774998659268,7397.625208017416,472.81468926553674
1774901651,50,,Aggregated,48.600000,0.000000,360,410,440,470,530,630,910,1200,7400,7400,7400,924,0,360.0,361.4667518170464,22.74774998659268,7397.625208017416,473.8787878787879
1774901652,50,,Aggregated,48.800000,0.000000,360,410,450,470,550,640,900,1200,7400,7400,7400,974,0,360.0,366.36627350015436,22.74774998659268,7397.625208017416,477.6776180698152
1774901653,50,,Aggregated,48.100000,0.000000,360,410,440,470,540,630,880,1200,1500,7400,7400,1022,0,360.0,365.39868832994824,14.230415981728584,7397.625208017416,480.5753424657534
1774901654,50,,Aggregated,47.900000,0.000000,360,410,450,470,540,630,860,1200,1500,7400,7400,1069,0,360.0,366.3851230273392,14.230415981728584,7397.625208017416,476.99906454630496
